tanggal,min,max,avg
2014-11-02,7172.1,8765.9,7969
2014-11-03,7182.9,8779.1,7981
2014-11-04,7199.1,8798.9,7999
2014-11-05,7186.5,8783.5,7985
2014-11-06,7189.2,8786.8,7988
2014-11-07,7197.3,8796.7,7997
2014-11-08,7198.2,8797.8,7998
2014-11-09,7203.6,8804.4,8004
2014-11-10,7222.5,8827.5,8025
2014-11-11,7255.8,8868.2,8062
2014-11-12,7242.3,8851.7,8047
2014-11-13,7760.7,9485.3,8623
2014-11-14,7777.8,9506.2,8642
2014-11-15,7794.9,9527.1,8661
2014-11-16,7784.1,9513.9,8649
2014-11-17,7807.5,9542.5,8675
2014-11-18,7819.2,9556.8,8688
2014-11-19,7848.9,9593.1,8721
2014-11-20,7410.6,9057.4,8234
2014-11-21,7883.1,9634.9,8759
2014-11-22,7893.9,9648.1,8771
2014-11-23,7894.8,9649.2,8772
2014-11-24,7897.5,9652.5,8775
2014-11-25,7916.4,9675.6,8796
2014-11-26,7941.6,9706.4,8824
2014-11-27,7503.3,9170.7,8337
2014-11-28,7527.6,9200.4,8364
2014-11-29,7543.8,9220.2,8382
2014-11-30,7580.7,9265.3,8423
2014-12-01,7657.2,9358.8,8508
2014-12-02,7704.9,9417.1,8561
2014-12-03,7702.2,9413.8,8558
2014-12-04,7720.2,9435.8,8578
2014-12-05,7725.6,9442.4,8584
2014-12-06,7735.5,9454.5,8595
2014-12-07,7734.6,9453.4,8594
2014-12-08,7838.1,9579.9,8709
2014-12-09,7837.2,9578.8,8708
2014-12-10,7839.9,9582.1,8711
2014-12-11,7852.5,9597.5,8725
2014-12-12,7861.5,9608.5,8735
2014-12-13,7884.9,9637.1,8761
2014-12-14,7878.6,9629.4,8754
2014-12-15,7900.2,9655.8,8778
2014-12-16,7939.8,9704.2,8822
2014-12-17,7947.9,9714.1,8831
2014-12-18,7949.7,9716.3,8833
2014-12-19,7949.7,9716.3,8833
2014-12-20,7964.1,9733.9,8849
2014-12-21,7977.6,9750.4,8864
2014-12-22,7976.7,9749.3,8863
2014-12-23,7977.6,9750.4,8864
2014-12-24,7968.6,9739.4,8854
2014-12-25,7995.6,9772.4,8884
2014-12-26,7995.6,9772.4,8884
2014-12-27,8002.8,9781.2,8892
2014-12-28,8007.3,9786.7,8897
2014-12-29,7993.8,9770.2,8882
2014-12-30,8006.4,9785.6,8896
2014-12-31,7971.3,9742.7,8857
2015-01-01,7978.5,9751.5,8865
2015-01-02,7981.2,9754.8,8868
2015-01-03,7981.2,9754.8,8868
2015-01-04,7982.1,9755.9,8869
2015-01-05,7976.7,9749.3,8863
2015-01-06,7977.6,9750.4,8864
2015-01-07,7997.4,9774.6,8886
2015-01-08,7987.5,9762.5,8875
2015-01-09,7984.8,9759.2,8872
2015-01-10,7990.2,9765.8,8878
2015-01-11,8007.3,9786.7,8897
2015-01-12,8009.1,9788.9,8899
2015-01-13,8009.1,9788.9,8899
2015-01-14,7994.7,9771.3,8883
2015-01-15,7991.1,9766.9,8879
2015-01-16,8006.4,9785.6,8896
2015-01-17,8005.5,9784.5,8895
2015-01-18,8005.5,9784.5,8895
2015-01-19,8016.3,9797.7,8907
2015-01-20,7988.4,9763.6,8876
2015-01-21,8001.9,9780.1,8891
2015-01-22,7980.3,9753.7,8867
2015-01-23,7980.3,9753.7,8867
2015-01-24,7975.8,9748.2,8862
2015-01-25,7969.5,9740.5,8855
2015-01-26,7960.5,9729.5,8845
2015-01-27,7957.8,9726.2,8842
2015-01-28,7969.5,9740.5,8855
2015-01-29,7969.5,9740.5,8855
2015-01-30,7965.9,9736.1,8851
2015-01-31,7970.4,9741.6,8856
2015-02-01,7965.9,9736.1,8851
2015-02-02,7966.8,9737.2,8852
2015-02-03,7987.5,9762.5,8875
2015-02-04,7992.0,9768.0,8880
2015-02-05,7981.2,9754.8,8868
2015-02-06,7992.9,9769.1,8881
2015-02-07,7994.7,9771.3,8883
2015-02-08,7994.7,9771.3,8883
2015-02-09,7994.7,9771.3,8883
2015-02-10,7988.4,9763.6,8876
2015-02-11,8012.7,9793.3,8903
2015-02-12,8010.0,9790.0,8900
2015-02-13,8011.8,9792.2,8902
